scale_ai,scenario,subsidized_ai,mature_era_ai,assigned_seed_3x,seed_used_3x,seed_recycled_3x,assigned_growth_vault_3x,expected_growth_unlock_3x,expected_growth_cancelled_3x,growth_unlock_pct_of_assigned,team_parity_cancel_3x,team_surviving_max_3x,active_ai_end,skill_gmv_3x_3y,energy_gmv_3x_3y,productive_spend_3x_3y,external_revenue_usd_3y,demand_reserve_emission_3x_3y,qualified_earnings_3x_3y,growth_reward_gross_sell_3x,qe_gross_sell_3x,gross_sell_pressure_3x_3y,reinvestment_proxy,sink_to_emission_ratio,external_revenue_to_emission_usd_ratio,peak_month_sell_tokens,peak_month_sell_usd_ref,lp_usdt_for_10pct_cp_impact,lp_usdt_for_20pct_cp_impact,3x_reach_rate,3x_expected_ai,3x_unlock_3x,9x_reach_rate,9x_expected_ai,9x_unlock_3x,27x_reach_rate,27x_expected_ai,27x_unlock_3x,81x_reach_rate,81x_expected_ai,81x_unlock_3x,243x_reach_rate,243x_expected_ai,243x_unlock_3x
1000,Bear,1000,0,5000000.0,2250000.0,2750000.0,75000000.0,2549250.0,72450750.0,0.03399,48300500.0,51699500.0,450.0,72900.0,102060.0,174960.0,4810.0,24050.0,1782000.0,1249132.5,399168.0,1648300.5,0.09595995744985426,0.06799051801189135,0.18691951968289744,271557.0,2715.57,50202.28903687028,23006.6782353182,0.22,220.0,1650000.0,0.06,60.0,675000.0,0.012,12.0,180000.0,0.002,2.0,37500.0,0.0003,0.3,6749.999999999999
1000,Base,1000,0,5000000.0,3250000.0,1750000.0,75000000.0,5208750.000000001,69791250.0,0.06945000000000001,46527500.0,53472500.0,620.0,196416.00000000003,281232.0,477648.0,26530.0,265300.0,4464000.0,1375110.0000000005,385689.6,1760799.6000000006,0.21338359673909718,0.08725678428220421,0.4846503046190663,536945.4000000001,5369.4540000000015,99264.19929450515,45490.7442921163,0.38,380.0,2850000.0,0.14,140.0,1575000.0000000002,0.04,40.0,600000.0,0.008,8.0,150000.0,0.0015,1.5,33750.0
1000,Bull,1000,0,5000000.0,4000000.0,1000000.0,75000000.0,9375000.0,65625000.0,0.125,43750000.0,56250000.0,760.0,426816.0,674424.0,1101240.0,99000.0,1485000.0,8892000.0,1199999.9999999998,284543.99999999994,1484543.9999999998,0.4258824402966373,0.10140331491712708,0.9116022099447514,949356.0,9493.56,175505.85811040414,80430.73101694576,0.58,580.0,4350000.0,0.28,280.0,3150000.0000000005,0.09,90.0,1350000.0,0.022,22.0,412500.0,0.005,5.0,112500.0
10000,Bear,10000,0,16875000.0,7593750.0,9281250.0,253125000.0,8603718.75,244521281.25,0.03399,48300500.0,51699500.0,4500.0,729000.0,1020600.0000000001,1749600.0,48099.99999999999,240499.99999999997,17820000.0,4215822.1875,3991680.0,8207502.1875,0.17571377365157728,0.19782414359662914,0.543858099394025,1026691.875,10266.91875,189802.81215566638,86982.73148893431,0.22,2200.0,5568750.0,0.06,600.0,2278125.0,0.012,120.0,607500.0,0.002,20.0,126562.5,0.0003,2.9999999999999996,22781.25
10000,Base,10000,0,16875000.0,10968750.0,5906250.0,253125000.0,17579531.250000004,235545468.75,0.06945000000000001,46527500.0,53472500.0,6200.0,1964160.0,2812320.0,4776480.0,265300.0,2653000.0,44640000.0,4640996.250000002,3856896.0,8497892.250000002,0.35982718504824207,0.2360792103064217,1.311254616250747,1918657.1250000005,19186.571250000005,354698.93816731137,162551.2401402862,0.38,3800.0,9618750.0,0.14,1400.0000000000002,5315625.0,0.04,400.0,2025000.0,0.008,80.0,506250.0,0.0015,15.0,113906.25
10000,Bull,10000,0,16875000.0,13500000.0,3375000.0,253125000.0,31640625.0,221484375.0,0.125,43750000.0,56250000.0,7600.0,4268160.0,6744240.0,11012400.0,990000.0,14850000.0,88920000.0,4049999.9999999995,2845440.0,6895440.0,0.6149485365069154,0.23687356321839081,2.1294615849969754,3282622.5,32826.225,606852.9389554815,278108.2410894059,0.58,5800.0,14681250.0,0.28,2800.0000000000005,10631250.0,0.09,900.0,4556250.0,0.022,220.0,1392187.5,0.005,50.0,379687.5
100000,Bear,100000,0,32890625.0,14800781.25,18089843.75,493359375.0,16769285.15625,476590089.84375,0.03399,48300500.0,51699500.0,45000.0,7290000.0,10206000.000000002,17496000.0,480999.99999999994,2404999.9999999995,178200000.0,8216949.726562499,39916799.99999999,48133749.72656249,0.2665864196175473,0.9124720873516919,2.508568095657086,3340128.5156249995,33401.28515624999,617483.9800178184,282980.2289154592,0.22,22000.0,10853906.25,0.06,6000.0,4440234.375,0.012,1200.0,1184062.5,0.002,200.0,246679.6875,0.0003,29.999999999999996,44402.34375
100000,Base,100000,0,32890625.0,21378906.25,11511718.75,493359375.0,34263808.59375001,459095566.40625,0.06945000000000001,46527500.0,53472500.0,62000.0,19641600.0,28123200.0,47764800.0,2653000.0,26530000.0,446400000.0,9045645.468750002,38568960.0,47614605.46875,0.5007873530481337,0.7856852713272932,4.363931231432579,5033420.859375001,50334.20859375001,930520.1074785617,426438.2583935581,0.38,38000.0,18747656.25,0.14,14000.000000000002,10360546.875,0.04,4000.0,3946875.0,0.008,800.0,986718.75,0.0015,150.0,222011.71875
100000,Bull,100000,0,32890625.0,26312500.0,6578125.0,493359375.0,61669921.875,431689453.125,0.125,43750000.0,56250000.0,76000.0,42681600.0,67442400.0,110124000.0,9900000.0,148500000.0,889200000.0,7893749.999999999,28454399.999999996,36348149.99999999,0.7518425857748384,0.5239760238646185,4.7104742256544645,7352592.1875,73525.921875,1359261.4374407926,622921.6063416773,0.58,57999.99999999999,28614843.75,0.28,28000.000000000004,20721093.75,0.09,9000.0,8880468.75,0.022,2200.0,2713476.5625,0.005,500.0,740039.0625
1000000,Bear,255000,745000,40000000.0,18000000.0,22000000.0,600000000.0,20394000.0,579606000.0,0.03399,48300500.0,51699500.0,450000.0,72900000.0,102060000.0,174960000.0,4810000.0,24050000.0,1782000000.0,9993060.0,399168000.0,409161060.0,0.2995269508002331,3.936639366393664,10.822608226082261,18671400.0,186714.0,3451750.5331220324,1581866.3927017907,0.22,56100.0,13200000.0,0.06,15300.0,5400000.0,0.012,3060.0,1440000.0,0.002,510.0,300000.0,0.0003,76.5,53999.99999999999
